group,family,simplified_species,commum_name,threat_category,acronym_threat_category,presence_in_protected_areas,national_action_plan_for_conservation_,fishing_planning,level_of_protection_in_the_national_strategy,exclusive_species_of_brazil,occurrence_states_y,main_threats_y,biome,category,lats_longs_animals
Marine Fish,Dasyatidae,Dasyatis centroura,Thorny Stingray,Critically Endangered (CR),CR,True,True,True,2.0,False,RS,Fishing,Marine,Freshwater Fish,[-53.94717764 -27.07613637]
Marine Fish,Dasyatidae,Dasyatis centroura,Thorny Stingray,Critically Endangered (CR),CR,True,True,True,2.0,False,SC,Fishing,Marine,Freshwater Fish,[-48.50651019 -27.30259023]
Marine Fish,Dasyatidae,Dasyatis centroura,Thorny Stingray,Critically Endangered (CR),CR,True,True,True,2.0,False,SE,Fishing,Marine,Freshwater Fish,[-38.14937118 -10.70657705]
Marine Fish,Dasyatidae,Dasyatis centroura,Thorny Stingray,Critically Endangered (CR),CR,True,True,True,2.0,False,SP,Fishing,Marine,Freshwater Fish,[-44.96712364 -23.40675392]
Marine Fish,Dasyatidae,Dasyatis colarensis,Stingray,Vulnerable (VU),VU,False,True,False,2.0,True,PA,Fishing,Marine,Freshwater Fish,[-56.24222117  -2.03966709]
Freshwater Fish,Loricariidae,Delturus parahybae,Suckerfish,Critically Endangered (CR),CR,False,True,False,1.0,True,RJ,Fishing,Atlantic Forest,Freshwater Fish,[-41.67079745 -21.06781087]
Freshwater Fish,Characidae,Diapoma pyrrhopteryx,Minnow,Endangered (EN),EN,False,True,False,1.0,True,RS,Fishing,Atlantic Forest,Fish,[-51.15625515 -31.46619863]
Freshwater Fish,Characidae,Diapoma pyrrhopteryx,Minnow,Endangered (EN),EN,False,True,False,1.0,True,SC,Fishing,Atlantic Forest,Fish,[-49.11099734 -25.99561288]
Aquatic Invertebrates,Onuphidae,Diopatra cuprea,Unknown,Vulnerable (VU),VU,True,False,False,2.0,False,AL,Mining,Marine,Freshwater Fish,[-37.70616445  -9.59380321]
Aquatic Invertebrates,Onuphidae,Diopatra cuprea,Unknown,Vulnerable (VU),VU,True,False,False,2.0,False,AL,Energy production,Marine,Freshwater Fish,[-37.50227761  -8.88452953]
Aquatic Invertebrates,Onuphidae,Diopatra cuprea,Unknown,Vulnerable (VU),VU,True,False,False,2.0,False,BA,Mining,Marine,Freshwater Fish,[-38.76843286 -13.07235134]
Aquatic Invertebrates,Onuphidae,Diopatra cuprea,Unknown,Vulnerable (VU),VU,True,False,False,2.0,False,BA,Energy production,Marine,Freshwater Fish,[-37.8425499  -11.43134042]
Aquatic Invertebrates,Onuphidae,Diopatra cuprea,Unknown,Vulnerable (VU),VU,True,False,False,2.0,False,ES,Mining,Marine,Freshwater Fish,[-41.24912066 -21.20005359]
Aquatic Invertebrates,Onuphidae,Diopatra cuprea,Unknown,Vulnerable (VU),VU,True,False,False,2.0,False,ES,Energy production,Marine,Freshwater Fish,[-41.09507731 -19.6280072 ]
Aquatic Invertebrates,Onuphidae,Diopatra cuprea,Unknown,Vulnerable (VU),VU,True,False,False,2.0,False,PB,Mining,Marine,Freshwater Fish,[-37.54397015  -7.22795804]
Aquatic Invertebrates,Onuphidae,Diopatra cuprea,Unknown,Vulnerable (VU),VU,True,False,False,2.0,False,PB,Energy production,Marine,Freshwater Fish,[-36.53103966  -5.70231503]
Aquatic Invertebrates,Onuphidae,Diopatra cuprea,Unknown,Vulnerable (VU),VU,True,False,False,2.0,False,PE,Mining,Marine,Freshwater Fish,[-38.31139185  -7.62847593]
Aquatic Invertebrates,Onuphidae,Diopatra cuprea,Unknown,Vulnerable (VU),VU,True,False,False,2.0,False,PE,Energy production,Marine,Freshwater Fish,[-39.65443053  -8.67433181]
Aquatic Invertebrates,Onuphidae,Diopatra cuprea,Unknown,Vulnerable (VU),VU,True,False,False,2.0,False,PR,Mining,Marine,Freshwater Fish,[-48.92951593 -22.50792748]
Aquatic Invertebrates,Onuphidae,Diopatra cuprea,Unknown,Vulnerable (VU),VU,True,False,False,2.0,False,PR,Energy production,Marine,Freshwater Fish,[-47.30579552 -24.01285077]
Aquatic Invertebrates,Onuphidae,Diopatra cuprea,Unknown,Vulnerable (VU),VU,True,False,False,2.0,False,RJ,Mining,Marine,Freshwater Fish,[-41.07696961 -22.0065422 ]
Aquatic Invertebrates,Onuphidae,Diopatra cuprea,Unknown,Vulnerable (VU),VU,True,False,False,2.0,False,RJ,Energy production,Marine,Freshwater Fish,[-44.52275654 -22.97136993]
Aquatic Invertebrates,Onuphidae,Diopatra cuprea,Unknown,Vulnerable (VU),VU,True,False,False,2.0,False,RS,Mining,Marine,Freshwater Fish,[-56.20721251 -30.48203537]
Aquatic Invertebrates,Onuphidae,Diopatra cuprea,Unknown,Vulnerable (VU),VU,True,False,False,2.0,False,RS,Energy production,Marine,Freshwater Fish,[-49.83753838 -29.1886109 ]
Aquatic Invertebrates,Onuphidae,Diopatra cuprea,Unknown,Vulnerable (VU),VU,True,False,False,2.0,False,SC,Mining,Marine,Freshwater Fish,[-48.46608138 -27.53655016]
Aquatic Invertebrates,Onuphidae,Diopatra cuprea,Unknown,Vulnerable (VU),VU,True,False,False,2.0,False,SC,Energy production,Marine,Freshwater Fish,[-49.89192515 -29.16363569]
Aquatic Invertebrates,Onuphidae,Diopatra cuprea,Unknown,Vulnerable (VU),VU,True,False,False,2.0,False,SE,Mining,Marine,Freshwater Fish,[-37.97692135 -11.23144068]
Aquatic Invertebrates,Onuphidae,Diopatra cuprea,Unknown,Vulnerable (VU),VU,True,False,False,2.0,False,SE,Energy production,Marine,Freshwater Fish,[-37.73430094 -10.53474307]
Aquatic Invertebrates,Onuphidae,Diopatra cuprea,Unknown,Vulnerable (VU),VU,True,False,False,2.0,False,SP,Mining,Marine,Freshwater Fish,[-51.69937381 -20.95393423]
Aquatic Invertebrates,Onuphidae,Diopatra cuprea,Unknown,Vulnerable (VU),VU,True,False,False,2.0,False,SP,Energy production,Marine,Freshwater Fish,[-45.11343378 -23.48774513]
Aquatic Invertebrates,Hyriidae,Diplodon (Rhipidodonta) koseritzi,Marsh Mussel,Endangered (EN),EN,True,False,False,2.0,True,RS,Fishing,Atlantic Forest,Freshwater Fish,[-51.11359412 -27.75611084]
Aquatic Invertebrates,Hyriidae,Diplodon (Rhipidodonta) koseritzi,Marsh Mussel,Endangered (EN),EN,True,False,False,2.0,True,RS,Fishing,Pampa,Freshwater Fish,[-53.88118652 -27.10831562]
Freshwater Fish,Sternopygidae,Eigenmannia vicentespelaea,Ituí,Vulnerable (VU),VU,True,True,False,2.0,True,GO,Tourism,Cerrado,Electric Fish,[-49.81754809 -12.47473892]
Freshwater Fish,Sternopygidae,Eigenmannia vicentespelaea,Ituí,Vulnerable (VU),VU,True,True,False,2.0,True,GO,Pollution,Cerrado,Electric Fish,[-48.04820431 -18.02801661]
Marine Fish,Gobiidae,Elacatinus figaro,Neon Tetra,Vulnerable (VU),VU,True,True,True,2.0,True,AL,Agriculture,Marine,Fish,[-36.27665747  -9.15897417]
Marine Fish,Gobiidae,Elacatinus figaro,Neon Tetra,Vulnerable (VU),VU,True,True,True,2.0,True,AL,Human Settlement,Marine,Fish,[-36.59455539  -9.32613837]
Marine Fish,Gobiidae,Elacatinus figaro,Neon Tetra,Vulnerable (VU),VU,True,True,True,2.0,True,AL,Exotic Species,Marine,Fish,[-37.86031855  -9.01777378]
Marine Fish,Gobiidae,Elacatinus figaro,Neon Tetra,Vulnerable (VU),VU,True,True,True,2.0,True,AL,Industry,Marine,Fish,[-36.48928628 -10.21158134]
Marine Fish,Gobiidae,Elacatinus figaro,Neon Tetra,Vulnerable (VU),VU,True,True,True,2.0,True,AL,Pollution,Marine,Fish,[-38.14287165  -9.39534751]
Marine Fish,Gobiidae,Elacatinus figaro,Neon Tetra,Vulnerable (VU),VU,True,True,True,2.0,True,BA,Agriculture,Marine,Fish,[-46.22153375 -13.99508546]
Marine Fish,Gobiidae,Elacatinus figaro,Neon Tetra,Vulnerable (VU),VU,True,True,True,2.0,True,BA,Human Settlement,Marine,Fish,[-44.76651887 -10.81338981]
Marine Fish,Gobiidae,Elacatinus figaro,Neon Tetra,Vulnerable (VU),VU,True,True,True,2.0,True,BA,Exotic Species,Marine,Fish,[-45.54128349 -14.91837752]
Marine Fish,Gobiidae,Elacatinus figaro,Neon Tetra,Vulnerable (VU),VU,True,True,True,2.0,True,BA,Industry,Marine,Fish,[-40.63588206 -15.58463784]
Marine Fish,Gobiidae,Elacatinus figaro,Neon Tetra,Vulnerable (VU),VU,True,True,True,2.0,True,BA,Pollution,Marine,Fish,[-39.98753297 -15.9115368 ]
Marine Fish,Gobiidae,Elacatinus figaro,Neon Tetra,Vulnerable (VU),VU,True,True,True,2.0,True,CE,Agriculture,Marine,Fish,[-38.8332271  -3.4430759]
Marine Fish,Gobiidae,Elacatinus figaro,Neon Tetra,Vulnerable (VU),VU,True,True,True,2.0,True,CE,Human Settlement,Marine,Fish,[-39.21685777  -7.57523857]
Marine Fish,Gobiidae,Elacatinus figaro,Neon Tetra,Vulnerable (VU),VU,True,True,True,2.0,True,CE,Exotic Species,Marine,Fish,[-40.84423727  -5.11048075]
Marine Fish,Gobiidae,Elacatinus figaro,Neon Tetra,Vulnerable (VU),VU,True,True,True,2.0,True,CE,Industry,Marine,Fish,[-38.53961523  -7.43713406]
Marine Fish,Gobiidae,Elacatinus figaro,Neon Tetra,Vulnerable (VU),VU,True,True,True,2.0,True,CE,Pollution,Marine,Fish,[-38.76692956  -3.45279189]
Marine Fish,Gobiidae,Elacatinus figaro,Neon Tetra,Vulnerable (VU),VU,True,True,True,2.0,True,ES,Agriculture,Marine,Fish,[-41.13644841 -18.84468386]
Marine Fish,Gobiidae,Elacatinus figaro,Neon Tetra,Vulnerable (VU),VU,True,True,True,2.0,True,ES,Human Settlement,Marine,Fish,[-39.64162505 -18.49969022]
Marine Fish,Gobiidae,Elacatinus figaro,Neon Tetra,Vulnerable (VU),VU,True,True,True,2.0,True,ES,Exotic Species,Marine,Fish,[-40.92595379 -21.2112399 ]
Marine Fish,Gobiidae,Elacatinus figaro,Neon Tetra,Vulnerable (VU),VU,True,True,True,2.0,True,ES,Industry,Marine,Fish,[-40.77070359 -20.97021159]
Marine Fish,Gobiidae,Elacatinus figaro,Neon Tetra,Vulnerable (VU),VU,True,True,True,2.0,True,ES,Pollution,Marine,Fish,[-40.8739667  -19.41040932]
Marine Fish,Gobiidae,Elacatinus figaro,Neon Tetra,Vulnerable (VU),VU,True,True,True,2.0,True,MA,Agriculture,Marine,Fish,[-45.44966471  -1.23012312]
Marine Fish,Gobiidae,Elacatinus figaro,Neon Tetra,Vulnerable (VU),VU,True,True,True,2.0,True,MA,Human Settlement,Marine,Fish,[-46.29040504 -10.11803149]
Marine Fish,Gobiidae,Elacatinus figaro,Neon Tetra,Vulnerable (VU),VU,True,True,True,2.0,True,MA,Exotic Species,Marine,Fish,[-45.43409181  -7.80360433]
Marine Fish,Gobiidae,Elacatinus figaro,Neon Tetra,Vulnerable (VU),VU,True,True,True,2.0,True,MA,Industry,Marine,Fish,[-45.78067549  -9.68458816]
Marine Fish,Gobiidae,Elacatinus figaro,Neon Tetra,Vulnerable (VU),VU,True,True,True,2.0,True,MA,Pollution,Marine,Fish,[-47.09129461  -3.94606977]
Marine Fish,Gobiidae,Elacatinus figaro,Neon Tetra,Vulnerable (VU),VU,True,True,True,2.0,True,PA,Agriculture,Marine,Fish,[-46.92937632  -3.4256595 ]
Marine Fish,Gobiidae,Elacatinus figaro,Neon Tetra,Vulnerable (VU),VU,True,True,True,2.0,True,PA,Human Settlement,Marine,Fish,[-46.25667164  -1.02667821]
Marine Fish,Gobiidae,Elacatinus figaro,Neon Tetra,Vulnerable (VU),VU,True,True,True,2.0,True,PA,Exotic Species,Marine,Fish,[-46.36088235  -0.95245039]
Marine Fish,Gobiidae,Elacatinus figaro,Neon Tetra,Vulnerable (VU),VU,True,True,True,2.0,True,PA,Industry,Marine,Fish,[-54.08050949   1.49166645]
Marine Fish,Gobiidae,Elacatinus figaro,Neon Tetra,Vulnerable (VU),VU,True,True,True,2.0,True,PA,Pollution,Marine,Fish,[-46.46810671  -2.57751246]
Marine Fish,Gobiidae,Elacatinus figaro,Neon Tetra,Vulnerable (VU),VU,True,True,True,2.0,True,PB,Agriculture,Marine,Fish,[-34.96196226  -5.68846754]
Marine Fish,Gobiidae,Elacatinus figaro,Neon Tetra,Vulnerable (VU),VU,True,True,True,2.0,True,PB,Human Settlement,Marine,Fish,[-34.62425577  -6.02751811]
Marine Fish,Gobiidae,Elacatinus figaro,Neon Tetra,Vulnerable (VU),VU,True,True,True,2.0,True,PB,Exotic Species,Marine,Fish,[-34.58224573  -6.89967475]
Marine Fish,Gobiidae,Elacatinus figaro,Neon Tetra,Vulnerable (VU),VU,True,True,True,2.0,True,PB,Industry,Marine,Fish,[-38.08629305  -5.97860012]
Marine Fish,Gobiidae,Elacatinus figaro,Neon Tetra,Vulnerable (VU),VU,True,True,True,2.0,True,PB,Pollution,Marine,Fish,[-38.53688361  -6.1615119 ]
Marine Fish,Gobiidae,Elacatinus figaro,Neon Tetra,Vulnerable (VU),VU,True,True,True,2.0,True,PE,Agriculture,Marine,Fish,[-37.68299581  -7.50520049]
Marine Fish,Gobiidae,Elacatinus figaro,Neon Tetra,Vulnerable (VU),VU,True,True,True,2.0,True,PE,Human Settlement,Marine,Fish,[-37.57843384  -7.42897257]
Marine Fish,Gobiidae,Elacatinus figaro,Neon Tetra,Vulnerable (VU),VU,True,True,True,2.0,True,PE,Exotic Species,Marine,Fish,[-36.62675004  -9.21478659]
Marine Fish,Gobiidae,Elacatinus figaro,Neon Tetra,Vulnerable (VU),VU,True,True,True,2.0,True,PE,Industry,Marine,Fish,[-37.63344121  -7.53838816]
Marine Fish,Gobiidae,Elacatinus figaro,Neon Tetra,Vulnerable (VU),VU,True,True,True,2.0,True,PE,Pollution,Marine,Fish,[-38.88947068  -8.77354083]
Marine Fish,Gobiidae,Elacatinus figaro,Neon Tetra,Vulnerable (VU),VU,True,True,True,2.0,True,PI,Agriculture,Marine,Fish,[-43.68069552  -9.73151972]
Marine Fish,Gobiidae,Elacatinus figaro,Neon Tetra,Vulnerable (VU),VU,True,True,True,2.0,True,PI,Human Settlement,Marine,Fish,[-43.29468932  -6.7895728 ]
Marine Fish,Gobiidae,Elacatinus figaro,Neon Tetra,Vulnerable (VU),VU,True,True,True,2.0,True,PI,Exotic Species,Marine,Fish,[-40.87615286  -5.57921897]
Marine Fish,Gobiidae,Elacatinus figaro,Neon Tetra,Vulnerable (VU),VU,True,True,True,2.0,True,PI,Industry,Marine,Fish,[-45.54926861  -7.97588707]
Marine Fish,Gobiidae,Elacatinus figaro,Neon Tetra,Vulnerable (VU),VU,True,True,True,2.0,True,PI,Pollution,Marine,Fish,[-43.02547086  -5.9159965 ]
Marine Fish,Gobiidae,Elacatinus figaro,Neon Tetra,Vulnerable (VU),VU,True,True,True,2.0,True,PR,Agriculture,Marine,Fish,[-51.25280957 -26.28476545]
Marine Fish,Gobiidae,Elacatinus figaro,Neon Tetra,Vulnerable (VU),VU,True,True,True,2.0,True,PR,Human Settlement,Marine,Fish,[-52.3385528  -26.23957966]
Marine Fish,Gobiidae,Elacatinus figaro,Neon Tetra,Vulnerable (VU),VU,True,True,True,2.0,True,PR,Exotic Species,Marine,Fish,[-49.32750797 -22.83473742]
Marine Fish,Gobiidae,Elacatinus figaro,Neon Tetra,Vulnerable (VU),VU,True,True,True,2.0,True,PR,Industry,Marine,Fish,[-51.22264234 -26.07133036]
Marine Fish,Gobiidae,Elacatinus figaro,Neon Tetra,Vulnerable (VU),VU,True,True,True,2.0,True,PR,Pollution,Marine,Fish,[-48.5823806  -23.82808909]
Marine Fish,Gobiidae,Elacatinus figaro,Neon Tetra,Vulnerable (VU),VU,True,True,True,2.0,True,RJ,Agriculture,Marine,Fish,[-43.09158989 -22.06190546]
Marine Fish,Gobiidae,Elacatinus figaro,Neon Tetra,Vulnerable (VU),VU,True,True,True,2.0,True,RJ,Human Settlement,Marine,Fish,[-44.71515551 -22.96890515]
Marine Fish,Gobiidae,Elacatinus figaro,Neon Tetra,Vulnerable (VU),VU,True,True,True,2.0,True,RJ,Exotic Species,Marine,Fish,[-41.63695645 -21.06870073]
Marine Fish,Gobiidae,Elacatinus figaro,Neon Tetra,Vulnerable (VU),VU,True,True,True,2.0,True,RJ,Industry,Marine,Fish,[-44.24729955 -22.97108097]
Marine Fish,Gobiidae,Elacatinus figaro,Neon Tetra,Vulnerable (VU),VU,True,True,True,2.0,True,RJ,Pollution,Marine,Fish,[-43.77062696 -22.86632438]
Marine Fish,Gobiidae,Elacatinus figaro,Neon Tetra,Vulnerable (VU),VU,True,True,True,2.0,True,RN,Agriculture,Marine,Fish,[-36.20993383  -6.22060122]
Marine Fish,Gobiidae,Elacatinus figaro,Neon Tetra,Vulnerable (VU),VU,True,True,True,2.0,True,RN,Human Settlement,Marine,Fish,[-35.64759519  -6.37735941]
Marine Fish,Gobiidae,Elacatinus figaro,Neon Tetra,Vulnerable (VU),VU,True,True,True,2.0,True,RN,Exotic Species,Marine,Fish,[-35.78546793  -4.99690259]
Marine Fish,Gobiidae,Elacatinus figaro,Neon Tetra,Vulnerable (VU),VU,True,True,True,2.0,True,RN,Industry,Marine,Fish,[-37.54092943  -6.12830698]
Marine Fish,Gobiidae,Elacatinus figaro,Neon Tetra,Vulnerable (VU),VU,True,True,True,2.0,True,RN,Pollution,Marine,Fish,[-38.44769008  -6.29851916]
Marine Fish,Gobiidae,Elacatinus figaro,Neon Tetra,Vulnerable (VU),VU,True,True,True,2.0,True,SC,Agriculture,Marine,Fish,[-48.48805168 -27.33756434]
Marine Fish,Gobiidae,Elacatinus figaro,Neon Tetra,Vulnerable (VU),VU,True,True,True,2.0,True,SC,Human Settlement,Marine,Fish,[-50.05325264 -28.4208996 ]
Marine Fish,Gobiidae,Elacatinus figaro,Neon Tetra,Vulnerable (VU),VU,True,True,True,2.0,True,SC,Exotic Species,Marine,Fish,[-49.7204046 -28.5451164]
Marine Fish,Gobiidae,Elacatinus figaro,Neon Tetra,Vulnerable (VU),VU,True,True,True,2.0,True,SC,Industry,Marine,Fish,[-50.09058321 -29.19376219]
Marine Fish,Gobiidae,Elacatinus figaro,Neon Tetra,Vulnerable (VU),VU,True,True,True,2.0,True,SC,Pollution,Marine,Fish,[-52.00519062 -27.30299149]
Marine Fish,Gobiidae,Elacatinus figaro,Neon Tetra,Vulnerable (VU),VU,True,True,True,2.0,True,SE,Agriculture,Marine,Fish,[-37.64693772  -9.58847604]
Marine Fish,Gobiidae,Elacatinus figaro,Neon Tetra,Vulnerable (VU),VU,True,True,True,2.0,True,SE,Human Settlement,Marine,Fish,[-37.47478031 -11.49198381]
Marine Fish,Gobiidae,Elacatinus figaro,Neon Tetra,Vulnerable (VU),VU,True,True,True,2.0,True,SE,Exotic Species,Marine,Fish,[-37.63981764 -11.5290728 ]
Marine Fish,Gobiidae,Elacatinus figaro,Neon Tetra,Vulnerable (VU),VU,True,True,True,2.0,True,SE,Industry,Marine,Fish,[-36.4157233  -10.48565291]
Marine Fish,Gobiidae,Elacatinus figaro,Neon Tetra,Vulnerable (VU),VU,True,True,True,2.0,True,SE,Pollution,Marine,Fish,[-37.54533974 -11.46925831]
Marine Fish,Gobiidae,Elacatinus figaro,Neon Tetra,Vulnerable (VU),VU,True,True,True,2.0,True,SP,Agriculture,Marine,Fish,[-44.60726915 -22.8271814 ]
Marine Fish,Gobiidae,Elacatinus figaro,Neon Tetra,Vulnerable (VU),VU,True,True,True,2.0,True,SP,Human Settlement,Marine,Fish,[-46.34605939 -22.48646296]
Marine Fish,Gobiidae,Elacatinus figaro,Neon Tetra,Vulnerable (VU),VU,True,True,True,2.0,True,SP,Exotic Species,Marine,Fish,[-44.92702001 -23.66150246]
Marine Fish,Gobiidae,Elacatinus figaro,Neon Tetra,Vulnerable (VU),VU,True,True,True,2.0,True,SP,Industry,Marine,Fish,[-48.30823471 -24.98010161]
Marine Fish,Gobiidae,Elacatinus figaro,Neon Tetra,Vulnerable (VU),VU,True,True,True,2.0,True,SP,Pollution,Marine,Fish,[-49.47952987 -23.6767465 ]
Marine Fish,Tripterygiidae,Enneanectes smithi,Unknown,Vulnerable (VU),VU,True,False,True,2.0,False,PE,Human Settlement,Marine,Fish,[-40.66086952  -9.09935495]
Marine Fish,Tripterygiidae,Enneanectes smithi,Unknown,Vulnerable (VU),VU,True,False,True,2.0,False,PE,Pollution,Marine,Fish,[-36.2236618  -9.1132836]
Marine Fish,Epinephelidae,Epinephelus itajara,Grouper,Critically Endangered (CR),CR,True,True,True,2.0,False,AL,Human Settlement,Marine,Fish,[-35.9826175   -8.89592239]
Marine Fish,Epinephelidae,Epinephelus itajara,Grouper,Critically Endangered (CR),CR,True,True,True,2.0,False,AL,Fishing,Marine,Fish,[-36.8747264  -10.01913527]
Marine Fish,Epinephelidae,Epinephelus itajara,Grouper,Critically Endangered (CR),CR,True,True,True,2.0,False,AP,Human Settlement,Marine,Fish,[-49.84642057   1.18119097]
Marine Fish,Epinephelidae,Epinephelus itajara,Grouper,Critically Endangered (CR),CR,True,True,True,2.0,False,AP,Fishing,Marine,Fish,[-51.58471186   4.25663809]
Marine Fish,Epinephelidae,Epinephelus itajara,Grouper,Critically Endangered (CR),CR,True,True,True,2.0,False,BA,Human Settlement,Marine,Fish,[-46.1272438  -13.55595114]
Marine Fish,Epinephelidae,Epinephelus itajara,Grouper,Critically Endangered (CR),CR,True,True,True,2.0,False,BA,Fishing,Marine,Fish,[-46.1563707  -12.50029829]
Marine Fish,Epinephelidae,Epinephelus itajara,Grouper,Critically Endangered (CR),CR,True,True,True,2.0,False,CE,Human Settlement,Marine,Fish,[-40.32160929  -6.71383494]
Marine Fish,Epinephelidae,Epinephelus itajara,Grouper,Critically Endangered (CR),CR,True,True,True,2.0,False,CE,Fishing,Marine,Fish,[-41.36418889  -3.38839301]
Marine Fish,Epinephelidae,Epinephelus itajara,Grouper,Critically Endangered (CR),CR,True,True,True,2.0,False,ES,Human Settlement,Marine,Fish,[-41.16647558 -21.21721824]
Marine Fish,Epinephelidae,Epinephelus itajara,Grouper,Critically Endangered (CR),CR,True,True,True,2.0,False,ES,Fishing,Marine,Fish,[-41.8443549  -20.29392112]
Marine Fish,Epinephelidae,Epinephelus itajara,Grouper,Critically Endangered (CR),CR,True,True,True,2.0,False,MA,Human Settlement,Marine,Fish,[-45.09281662  -1.42417039]
Marine Fish,Epinephelidae,Epinephelus itajara,Grouper,Critically Endangered (CR),CR,True,True,True,2.0,False,MA,Fishing,Marine,Fish,[-45.43883299  -1.27272416]
Marine Fish,Epinephelidae,Epinephelus itajara,Grouper,Critically Endangered (CR),CR,True,True,True,2.0,False,PA,Human Settlement,Marine,Fish,[-56.48723212   1.97387049]
Marine Fish,Epinephelidae,Epinephelus itajara,Grouper,Critically Endangered (CR),CR,True,True,True,2.0,False,PA,Fishing,Marine,Fish,[-49.72113412   0.34753929]
Marine Fish,Epinephelidae,Epinephelus itajara,Grouper,Critically Endangered (CR),CR,True,True,True,2.0,False,PB,Human Settlement,Marine,Fish,[-37.02132443  -7.57071914]
Marine Fish,Epinephelidae,Epinephelus itajara,Grouper,Critically Endangered (CR),CR,True,True,True,2.0,False,PB,Fishing,Marine,Fish,[-37.24350304  -7.48137144]
Marine Fish,Epinephelidae,Epinephelus itajara,Grouper,Critically Endangered (CR),CR,True,True,True,2.0,False,PE,Human Settlement,Marine,Fish,[-40.57904304  -7.99349223]
Marine Fish,Epinephelidae,Epinephelus itajara,Grouper,Critically Endangered (CR),CR,True,True,True,2.0,False,PE,Fishing,Marine,Fish,[-35.7925701   -7.73818933]
Marine Fish,Epinephelidae,Epinephelus itajara,Grouper,Critically Endangered (CR),CR,True,True,True,2.0,False,PI,Human Settlement,Marine,Fish,[-45.78099219  -9.89345737]
Marine Fish,Epinephelidae,Epinephelus itajara,Grouper,Critically Endangered (CR),CR,True,True,True,2.0,False,PI,Fishing,Marine,Fish,[-40.85785653  -5.52734403]
Marine Fish,Epinephelidae,Epinephelus itajara,Grouper,Critically Endangered (CR),CR,True,True,True,2.0,False,RJ,Human Settlement,Marine,Fish,[-44.06574547 -23.09335634]
Marine Fish,Epinephelidae,Epinephelus itajara,Grouper,Critically Endangered (CR),CR,True,True,True,2.0,False,RJ,Fishing,Marine,Fish,[-44.25029894 -22.94181955]
Marine Fish,Epinephelidae,Epinephelus itajara,Grouper,Critically Endangered (CR),CR,True,True,True,2.0,False,RN,Human Settlement,Marine,Fish,[-37.66808667  -5.04449116]
Marine Fish,Epinephelidae,Epinephelus itajara,Grouper,Critically Endangered (CR),CR,True,True,True,2.0,False,RN,Fishing,Marine,Fish,[-36.48546683  -6.66951649]
Marine Fish,Epinephelidae,Epinephelus itajara,Grouper,Critically Endangered (CR),CR,True,True,True,2.0,False,SE,Human Settlement,Marine,Fish,[-37.73658074  -9.52306013]
Marine Fish,Epinephelidae,Epinephelus itajara,Grouper,Critically Endangered (CR),CR,True,True,True,2.0,False,SE,Fishing,Marine,Fish,[-38.05069726 -10.69281247]
Marine Fish,Epinephelidae,Epinephelus itajara,Grouper,Critically Endangered (CR),CR,True,True,True,2.0,False,SP,Human Settlement,Marine,Fish,[-46.9777563  -21.25978077]
Marine Fish,Epinephelidae,Epinephelus itajara,Grouper,Critically Endangered (CR),CR,True,True,True,2.0,False,SP,Fishing,Marine,Fish,[-45.02205885 -23.42515335]
Marine Fish,Epinephelidae,Epinephelus marginatus,True Grouper,Vulnerable (VU),VU,True,True,True,3.0,False,ES,Changes in Native Species Dynamics,Marine,Fish,[-39.66537754 -18.4000898 ]
Marine Fish,Epinephelidae,Epinephelus marginatus,True Grouper,Vulnerable (VU),VU,True,True,True,3.0,False,RJ,Changes in Native Species Dynamics,Marine,Fish,[-44.48645992 -23.25643643]
Marine Fish,Epinephelidae,Epinephelus marginatus,True Grouper,Vulnerable (VU),VU,True,True,True,3.0,False,SP,Changes in Native Species Dynamics,Marine,Fish,[-49.0093402  -24.61161615]
Marine Fish,Epinephelidae,Epinephelus marginatus,True Grouper,Vulnerable (VU),VU,True,True,True,3.0,False,PR,Changes in Native Species Dynamics,Marine,Fish,[-47.67689194 -24.75985631]
Marine Fish,Epinephelidae,Epinephelus marginatus,True Grouper,Vulnerable (VU),VU,True,True,True,3.0,False,SC,Changes in Native Species Dynamics,Marine,Fish,[-48.48206411 -27.19950322]
Marine Fish,Epinephelidae,Epinephelus marginatus,True Grouper,Vulnerable (VU),VU,True,True,True,3.0,False,RS,Changes in Native Species Dynamics,Marine,Fish,[-52.57074148 -32.21135734]
Marine Fish,Epinephelidae,Epinephelus morio,Grouper ,Vulnerable (VU),VU,True,True,True,3.0,False,AL,Changes in Native Species Dynamics,Marine,Fish,[-35.6156755   -9.47802654]
Marine Fish,Epinephelidae,Epinephelus morio,Grouper ,Vulnerable (VU),VU,True,True,True,3.0,False,AP,Changes in Native Species Dynamics,Marine,Fish,[-53.91945467   2.32349025]
Marine Fish,Epinephelidae,Epinephelus morio,Grouper ,Vulnerable (VU),VU,True,True,True,3.0,False,BA,Changes in Native Species Dynamics,Marine,Fish,[-42.7913804  -14.71534428]
Marine Fish,Epinephelidae,Epinephelus morio,Grouper ,Vulnerable (VU),VU,True,True,True,3.0,False,CE,Changes in Native Species Dynamics,Marine,Fish,[-41.15839512  -4.70347186]
Marine Fish,Epinephelidae,Epinephelus morio,Grouper ,Vulnerable (VU),VU,True,True,True,3.0,False,ES,Changes in Native Species Dynamics,Marine,Fish,[-41.14437486 -19.83037418]
